theta,phi_transmission,eq_high_frac,R0_ratio
0.14210526315789473,1.6458333333333335,0.9999999948420426,2.1944444444444446
0.14210526315789473,1.75,0.9999999959166149,2.3333333333333335
0.14210526315789473,1.8541666666666667,0.9999999966867182,2.4722222222222223
0.14210526315789473,1.9583333333333335,0.9999999972240485,2.611111111111111
0.14210526315789473,2.0625,0.9999999975724972,2.75
0.14210526315789473,2.166666666666667,0.9999999979746386,2.8888888888888893
0.14210526315789473,2.2708333333333335,0.9999999982334795,3.027777777777778
0.14210526315789473,2.375,0.9999999984107277,3.1666666666666665
0.14210526315789473,2.479166666666667,0.999999998584001,3.305555555555556
0.14210526315789473,2.5833333333333335,0.9999999988611848,3.4444444444444446
0.14210526315789473,2.6875,0.9999999987761441,3.5833333333333335
0.14210526315789473,2.791666666666667,0.9999999989366087,3.7222222222222228
